ReportGeneratedUTC,AccountId,Profile,Region,TotalJobs,Completed,Failed,Running,Aborted,Expired,Other,Percentage
2025-09-03T02:18:02Z,010474059410,account010474059410,ap-southeast-2,161,161,0,0,0,0,0,100%
2025-09-03T02:18:02Z,027057327921,account027057327921,ap-southeast-2,509,509,0,0,0,0,0,100%
2025-09-03T02:18:02Z,143237116399,account143237116399,ap-southeast-2,1426,1426,0,0,0,0,0,100%
2025-09-03T02:18:02Z,155338202634,account155338202634,ap-southeast-2,191,191,0,0,0,0,0,100%
2025-09-03T02:18:02Z,182474764393,account182474764393,ap-southeast-2,276,276,0,0,0,0,0,100%
2025-09-03T02:18:02Z,502966642495,account502966642495,ap-southeast-2,2099,2098,1,0,0,0,0,100%
2025-09-03T02:18:02Z,503095242877,account503095242877,ap-southeast-2,4404,4401,0,0,0,3,0,100%
2025-09-03T02:18:02Z,742069625158,account742069625158,ap-southeast-2,2760,2760,0,0,0,0,0,100%
2025-09-03T02:18:02Z,789893824481,account789893824481,ap-southeast-2,67,67,0,0,0,0,0,100%
2025-09-03T02:18:02Z,958396859964,account958396859964,ap-southeast-2,368,368,0,0,0,0,0,100%
2025-09-03T02:18:02Z,968130737873,account968130737873,ap-southeast-2,351,351,0,0,0,0,0,100%
