ReportGeneratedUTC,AccountId,AccountName,Profile,Region,BackupJobId,ResourceType,ResourceArn,ResourceName,BackupVaultName,State,CreationDate,CompletionDate,RecoveryPointArn,StatusMessage
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,14296F0C-BD1F-D44C-1B52-3504D6097EB4,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-00b5298a28ad7b5e4,WUMAPAWSLU02,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:21:29.369000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0ddfac5d3a84c20dd,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,23638BB0-BBB4-FF7C-99A0-024D7F2F1874,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-0890e0ec69fa27ef2,ANSAPAWSUP01,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:20:54.448000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0905d057da89348de,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,3D80B93D-6F6C-8308-04E6-94C4895EAC52,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-071b6a8c08ddba6ed,WFIAPAWSLU01,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:23:24.172000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0f6a3d47cfafebbca,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,3F53CCF5-5046-20B7-5FA4-3018250DBA02,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-0ff71b977c2bc425c,WUMAPAWSLF01,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:25:13.647000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0df10fd051581ccf1,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,3FC0DAD5-9B1A-68E9-F6BE-BDF283B58202,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-05a2b315124e26850,WUMAPAWSLF03,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:19:43.365000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0f61bd7b7793faf23,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,4352569E-1757-AECD-90CF-82BE75F9DDA9,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-091a7535f2d092612,WISAPAWSLF02,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:26:47.530000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0f92f1e25b8abe97f,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,6151E1CB-7684-4A4F-FC64-7C29D7EB1E03,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-0f3a5804956b03d83,ANSAPAWSLP02,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:30:45.051000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0abe4b1786c71fa51,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,6959978B-FE70-48DC-A26D-3E8ECA8AC66E,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-0d38829bbb6cd403b,WISAPAWSLF01,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:24:16.609000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-026617fb53ced4aaf,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,80DEB276-E050-0EC6-879B-9308697F080C,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-0e541df597414416d,WUMAPAWSLU01,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:21:32.318000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-02bce6b9f0796804e,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,82767451-194B-FCB3-4BD6-318D702574A3,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-07bd01f50df935f2c,ANSAPAWSALP01,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:27:30.590000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-03ae0bd68e6578214,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,8FB07C5C-9F3C-F376-5FF0-332BCACAC722,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-0d35bcc0ad4056bfc,WBMAPAWSLT01,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:30:34.529000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0186c6a619930f092,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,A92B6ED2-F3BE-9237-55E2-BA0136BF1BA9,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-02412df5a4567e6cf,WISAPAWSLU01,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:29:47.134000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-028afaa6b03b24098,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,AFE28308-BF47-7FC4-AD92-A937AC3B9EC4,EFS,arn:aws:elasticfilesystem:ap-southeast-2:302791467987:file-system/fs-0d7d92b0097bbcf06,EFS-WebMethods,aws/efs/automatic-backup-vault,COMPLETED,2025-09-02T15:00:00+10:00,2025-09-02T18:28:23.088000+10:00,arn:aws:backup:ap-southeast-2:302791467987:recovery-point:5dd7ba9a-9e22-418f-a288-70e336fd72e6,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,CE7FECF4-8660-026A-8187-82ABE4CD6F56,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-0706ade57b7607bea,WBMAPAWSLD01,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:23:19.160000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0506d9060cd8f6853,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,DB5EB86C-3F12-F7CC-B172-0049690A5E1F,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-0669f03f1266c9147,WUMAPAWSLF02,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:27:10.049000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-050a2c51cf95b4ab9,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,EDEF6D01-A938-9569-6F6E-AF97442767FD,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-004590716ea856dd0,WFIAPAWSLF01,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:22:43.536000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0ecb601f2c28350b2,
2025-09-03T00:52:19Z,302791467987,SharedServices NonProd,account302791467987,ap-southeast-2,FBEC0997-3507-9645-5766-B061E39BC778,EC2,arn:aws:ec2:ap-southeast-2:302791467987:instance/i-09c85ec5883acede4,WISAPAWSLU02,SharedServices-NP-EC2-Daily-Backup,COMPLETED,2025-09-03T01:00:00+10:00,2025-09-03T01:25:28.186000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0738a39473a57d020,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,17799BDF-B7E0-61F8-4A7F-D9F5403B9BD7,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-028bd67fe394cf1c8,SQLAPAUD01,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:31:58.151000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-08aea473d421ee0fe,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,21688503-0B6A-8A9A-F319-5980445E0C16,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-04532d5834a608622,RPRAPAWSWT01-Dont Terminate,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:31:20.265000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-011de5520664fa3a5,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,30251076-AB56-DD52-881D-ABB47F7939A3,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-0c90f87ed40753654,PRIAPAUT05,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:31:13.247000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0432b77ee3f420c22,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,364FEBD6-D45A-3566-6582-EE6623B13E90,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-0715bf5d0e31ecb2d,IPCAPAUD004,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:22:11.355000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0d7f9689a4c8b9bfe,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,3D4356D7-7B10-7330-77CA-EDF357C231AE,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-0589e6b62f1cc1a7a,CPPAPAWSWT01,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:20:41.294000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-06c10cb177663ae11,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,408F601E-70CB-5F41-68A1-36E4BAAE9AB9,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-01fcdd0f5b8e72f6f,MRAAPAWSWT01,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:31:46.874000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-019c370af7af4cdef,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,47D1D1BD-7D53-A813-4CE4-CD30D17975B3,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-0211c9c598714f47e,FMSAPAWSWT01-Dont Terminate,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:22:26.407000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-03fac41d97147481f,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,53319C30-FFB6-C3BD-F80E-14B836BC00F1,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-00471b1fc6ec3faaf,STRAPAUD001,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:28:27.412000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0d61b31becd3e22cc,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,79BF4690-3D41-35D9-4C31-C67EF171B712,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-06c53545bd9cb5ed6,DLTDBAWSWD01,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:23:24.502000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-05347039476fc6849,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,7EFCCF83-B211-2671-5575-D778CDF90CB1,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-00f1b512e21e2c3b9,AGDAPAWSWT01,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:21:50.054000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0957fd07c385313f7,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,A27AC031-963E-E5EB-79E3-42D508F00359,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-0a6f52d77bd088f92,IPCDBAUT001,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:34:32.164000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0588b2953fb0e1684,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,B4CA1A67-3A82-E128-C9F7-DB3C9F9021F4,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-01f8b31a821ef9a34,QUAAPAWSWD01,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:32:21.428000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-023883daec7884ad4,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,BA41765A-0188-7E18-23D4-5EE85F4A6912,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-0a0174ee8ef16a239,QUADBAWSWD01,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:33:00.995000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0715c952aae97a619,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,BB0454A6-3C77-3156-C40E-A97D99CF44E8,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-00969434b1ed814e3,SQLDBAUQ001,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:38:59.679000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0f2b4d9f21c22ce9e,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,E3397771-1952-B220-A858-B86599F626D8,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-0fe9fa5cdb4094aed,PPSAPAWSWT01-Dont terminate,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:24:39.355000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-011a968dd52cea1a7,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,E69F30E6-A6A8-4DA5-FC84-CDE0F6ED1452,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-08500d42355cba950,TSRISAWSWD01,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:26:44.218000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0503b9f89d283f633,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,EEB027D6-9160-AC7E-F708-3C70A0BDAC0C,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-0d02185d3b15e23f5,IPCAPAUD03,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:33:51.580000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0638914e20b587192,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,F24DAF7B-5FF8-816E-A624-6E1C5B5748F0,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-028614e04aefc13c9,IDSDBAWSWT01,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:36:20.807000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-099165306e0d00123,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,F3D628D5-2A4A-E26A-B034-D588BD8B3069,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-018face2a097087c4,TSRDBAWSWD01,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:35:21.575000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0cd28b82d720c68f3,
2025-09-03T00:52:19Z,749919732152,staging_parcels,account749919732152,ap-southeast-2,FE073DD2-715F-DBD9-6E02-78658BF9CCC1,EC2,arn:aws:ec2:ap-southeast-2:749919732152:instance/i-0fa4de0472e541daa,DLTRPAWSWD01,SP-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:21:32.454000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-05bccb3cd78b8da94,
2025-09-03T00:52:19Z,010474059410,prod_linehaul,account010474059410,ap-southeast-2,2B47606F-FB1B-1A8D-FC56-CF613A57B998,EC2,arn:aws:ec2:ap-southeast-2:010474059410:instance/i-0a3dc639b748b8e96,FLEAPAUT002,PL-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:28:32.702000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-06c4abfe6c5a45c5f,
2025-09-03T00:52:19Z,010474059410,prod_linehaul,account010474059410,ap-southeast-2,60DF2280-3424-5578-1202-29EE3ECB80B0,EC2,arn:aws:ec2:ap-southeast-2:010474059410:instance/i-041efaabe170fc3ae,ssqapaup02,PL-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:40:26.603000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0a86e37f3cb1f15fa,
2025-09-03T00:52:19Z,010474059410,prod_linehaul,account010474059410,ap-southeast-2,A2F2D31A-CB7F-353D-7C73-04EFD3D7FE6F,EC2,arn:aws:ec2:ap-southeast-2:010474059410:instance/i-08e5b6f1ab154786c,FLEAPAWSWP01,PL-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:29:25.296000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0b890bb79bce57ae3,
2025-09-03T00:52:19Z,010474059410,prod_linehaul,account010474059410,ap-southeast-2,B7E1A831-34A7-77B7-E22E-0EA2A89AA87C,EC2,arn:aws:ec2:ap-southeast-2:010474059410:instance/i-039639ee930719016,FLEDBAWSWP01,PL-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:28:38.472000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-08d6c414764226795,
2025-09-03T00:52:19Z,010474059410,prod_linehaul,account010474059410,ap-southeast-2,C269783B-0B6D-CD15-208D-94F87149B955,EC2,arn:aws:ec2:ap-southeast-2:010474059410:instance/i-01448937ce6fcc7d7,RPSAPAWSWP01,PL-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:32:33.447000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-00ec6a4a1e3267539,
2025-09-03T00:52:19Z,027057327921,prod_corporate,account027057327921,ap-southeast-2,02B37566-EB8D-1C5F-00CE-6AEF9D9D8E2C,EC2,arn:aws:ec2:ap-southeast-2:027057327921:instance/i-0a36d9b426af40a43,UIPAPAWSWP06,PC-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:50:19.972000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0cd258969369b633c,
2025-09-03T00:52:19Z,027057327921,prod_corporate,account027057327921,ap-southeast-2,19FC907B-1368-C9E3-4054-9263CDD46BC7,EC2,arn:aws:ec2:ap-southeast-2:027057327921:instance/i-04c613be42ed1873d,UIPAPAWSWP10,PC-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:53:00.621000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0626f1539e8dd2212,
2025-09-03T00:52:19Z,027057327921,prod_corporate,account027057327921,ap-southeast-2,1AC5D89E-07D2-9A1D-EF11-3334C614F0F9,EC2,arn:aws:ec2:ap-southeast-2:027057327921:instance/i-06bc464ccfec45d25,UIPAPAWSWP08,PC-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:52:16.562000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0aae041ca2dd1b785,
2025-09-03T00:52:19Z,027057327921,prod_corporate,account027057327921,ap-southeast-2,2FCD9521-8039-FD9F-FB4D-D6FED0268069,EC2,arn:aws:ec2:ap-southeast-2:027057327921:instance/i-055e13434259006c9,MIDSNW09WP01,PC-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:24:40.871000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-044da6f32e2ab5f17,
2025-09-03T00:52:19Z,027057327921,prod_corporate,account027057327921,ap-southeast-2,5053B375-34A3-0531-51BD-7C27096DAA8B,EFS,arn:aws:elasticfilesystem:ap-southeast-2:027057327921:file-system/fs-0e2eadcb71a6cd7d0,EIL_PROD_EFS,aws/efs/automatic-backup-vault,COMPLETED,2025-09-02T15:00:00+10:00,2025-09-02T17:36:09.799000+10:00,arn:aws:backup:ap-southeast-2:027057327921:recovery-point:913d8ded-a256-4719-bb98-c6ae203565bc,
2025-09-03T00:52:19Z,027057327921,prod_corporate,account027057327921,ap-southeast-2,5A6F2DA0-37BA-ABB5-B55E-273EE6984D44,EC2,arn:aws:ec2:ap-southeast-2:027057327921:instance/i-0cf7ea8517656fb59,UIPAPAWSWP07,PC-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:33:50.828000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0dbb35e5c62d6c67f,
2025-09-03T00:52:19Z,027057327921,prod_corporate,account027057327921,ap-southeast-2,7D59FCF6-D94F-0F4C-4B09-9AB2D80D0798,EC2,arn:aws:ec2:ap-southeast-2:027057327921:instance/i-0c0d4b88a6e0fa629,UIPAPAWSWP02,PC-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:26:34.448000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-037063013718608fd,
2025-09-03T00:52:19Z,027057327921,prod_corporate,account027057327921,ap-southeast-2,9C1C8767-1656-BFA8-F9F5-8F916B7D4667,EC2,arn:aws:ec2:ap-southeast-2:027057327921:instance/i-07c4ee1fbca3a315f,UIPAPAWSWP01,PC-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:34:41.979000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-0eef6c6924f795c31,
2025-09-03T00:52:19Z,027057327921,prod_corporate,account027057327921,ap-southeast-2,AAD1B106-AA40-4EB8-F8BC-4B27038A0768,EC2,arn:aws:ec2:ap-southeast-2:027057327921:instance/i-0c926125d81cc706d,MIDSNW09WP02,PC-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:26:57.764000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-02e00d4a7957bd45f,
2025-09-03T00:52:19Z,027057327921,prod_corporate,account027057327921,ap-southeast-2,C1C5C253-3E7C-C98F-9FE9-E5898417343D,EC2,arn:aws:ec2:ap-southeast-2:027057327921:instance/i-0d30cc90f0b0959d2,UIPAPAWSWP04,PC-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:43:27.896000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-096e1cfd9a704cc4a,
2025-09-03T00:52:19Z,027057327921,prod_corporate,account027057327921,ap-southeast-2,C2E43C69-E7C8-0735-33EA-82F5ACB40269,EC2,arn:aws:ec2:ap-southeast-2:027057327921:instance/i-0255666a017fe1765,UIPAPAWSWP11,PC-Daily-EC2-Backup,COMPLETED,2025-09-03T02:00:00+10:00,2025-09-03T02:17:21.522000+10:00,arn:aws:ec2:ap-southeast-2::image/ami-07614d151f5f8f86f,
