LoadBalancer_Name,DNS_Name,State,VPC_ID,Availability_Zones,Type,Date_Created
"SolarWinds-Webfarm-nlb","SolarWinds-Webfarm-nlb-0eb920b3f07a21e9.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","network","2022-07-28T07:25:28.091000+00:00"
"b2b-farm-nlb","b2b-farm-nlb-18d69659d9bfc846.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2b;ap-southeast-2a","network","2022-09-19T06:27:23.427000+00:00"
"iexprd01eex-farm-nlb","iexprd01eex-farm-nlb-1a724f3088bc9a90.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2b;ap-southeast-2a","network","2022-09-19T06:13:30.737000+00:00"
"iexuat01legb2b-farm-nlb","iexuat01legb2b-farm-nlb-1fe7c2c05da9d57e.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","network","2022-07-07T09:03:05.555000+00:00"
"IBM-ISV-Gateway-MTS-NLB","IBM-ISV-Gateway-MTS-NLB-2b8fad062070498f.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a","network","2023-05-16T03:38:43.810000+00:00"
"iexprd01mws-farm-nlb","iexprd01mws-farm-nlb-36195e2ad65ce72b.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2b;ap-southeast-2a","network","2022-09-19T06:13:30.783000+00:00"
"iexuat01mws-farm-nlb","iexuat01mws-farm-nlb-38d45d9c343f7657.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2b;ap-southeast-2c","network","2022-09-02T06:47:21.404000+00:00"
"IBM-ISV-Gateway-MTS-TestNLB","IBM-ISV-Gateway-MTS-TestNLB-3e13cf01ea54f71e.elb.ap-southeast-2.amazonaws.com","active","vpc-06e884891c7e928e1","ap-southeast-2b;ap-southeast-2a","network","2023-05-17T10:24:49.153000+00:00"
"iexprd01cmna2a-farm-nlb","iexprd01cmna2a-farm-nlb-41268497d21f13a5.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2b;ap-southeast-2a","network","2022-07-07T09:23:00.718000+00:00"
"iexuat01cmnb2b-farm-nlb","iexuat01cmnb2b-farm-nlb-4835df3655af8d9b.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2b;ap-southeast-2c","network","2022-07-07T09:03:05.677000+00:00"
"ricoh-int-nlb","ricoh-int-nlb-4aa6d7fe42b2e607.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a","network","2023-05-24T03:53:05.714000+00:00"
"Solarwind-orion-Web-NLB","Solarwind-orion-Web-NLB-54644b8c633e971f.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a","network","2024-04-05T11:49:18.097000+00:00"
