AccountID,AccountName,InstanceID,Name,State,PrivateIP,PublicIP,InstanceType,VPC,Subnet,AZ,Platform,PlatformDetails,ImageId,OSName,OSVersion
010474059410,account010474059410,i-0a3dc639b748b8e96,FLEAPAUT002,running,10.47.137.160,N/A,m5.large,vpc-076a2d8c05f81c450,subnet-0ebc56985b68792f8,ap-southeast-2a,windows,"Windows","ami-069be7718d6260bda","FLEAPAUT002-Working","N/A"
010474059410,account010474059410,i-041efaabe170fc3ae,ssqapaup02,running,10.47.137.231,N/A,m4.2xlarge,vpc-076a2d8c05f81c450,subnet-0ebc56985b68792f8,ap-southeast-2a,windows,"Windows","ami-09e76c51cd3485e20","N/A","N/A"
010474059410,account010474059410,i-09d371bb2cfb0cfde,LDMLHAWSUP01,running,10.47.137.105,N/A,t2.medium,vpc-076a2d8c05f81c450,subnet-0ebc56985b68792f8,ap-southeast-2a,linux,"Linux/UNIX","ami-0d21d42bea8de8b55","ubuntu/images/hvm-ssd/ubuntu-bionic-18.04-amd64-server-20221201","18.04"
010474059410,account010474059410,i-01448937ce6fcc7d7,RPSAPAWSWP01,running,10.47.137.147,N/A,t3.xlarge,vpc-076a2d8c05f81c450,subnet-0ebc56985b68792f8,ap-southeast-2a,windows,"Windows","ami-0a69b0f4b8728afb4","WIN2K19GoldenAMIV5-23","N/A"
010474059410,account010474059410,i-08e5b6f1ab154786c,FLEAPAWSWP01,running,10.47.137.125,N/A,m7i.xlarge,vpc-076a2d8c05f81c450,subnet-0ebc56985b68792f8,ap-southeast-2a,windows,"Windows","ami-08732800ec8a90627","WindowsServer2022GAMI2025-01-09","N/A"
010474059410,account010474059410,i-039639ee930719016,FLEDBAWSWP01,running,10.47.137.199,N/A,r7i.2xlarge,vpc-076a2d8c05f81c450,subnet-0ebc56985b68792f8,ap-southeast-2a,windows,"Windows with SQL Server Standard","ami-04153e27fed9c0b87","IBWin2022SQL2022STDGAMI2024-10-25T01-04-53.089Z","N/A"
027057327921,account027057327921,i-0c77af2883b4ddff5,LDMCRAWSUP01,running,10.47.49.191,N/A,t2.medium,vpc-0309488c35c5a005f,subnet-03237901edd402a1e,ap-southeast-2a,linux,"Linux/UNIX","ami-0d21d42bea8de8b55","ubuntu/images/hvm-ssd/ubuntu-bionic-18.04-amd64-server-20221201","18.04"
027057327921,account027057327921,i-0787a3f78fc0a7d1d,ACTAPAWSLP03,running,10.47.49.15,N/A,m5.large,vpc-0309488c35c5a005f,subnet-03237901edd402a1e,ap-southeast-2a,linux,"Linux/UNIX","ami-09b7fa47e01d7d9cd","AmazonLinux2GoldenAMIV5-23","N/A"
027057327921,account027057327921,i-0c926125d81cc706d,MIDSNW09WP02,running,10.47.50.92,N/A,t3.xlarge,vpc-0309488c35c5a005f,subnet-02caab34e4c806691,ap-southeast-2b,windows,"Windows","ami-07996b2bf4ab098df","CHG0088553_notinDomain_MIDSNW09WP02","N/A"
027057327921,account027057327921,i-055e13434259006c9,MIDSNW09WP01,running,10.47.49.57,N/A,t3.xlarge,vpc-0309488c35c5a005f,subnet-03237901edd402a1e,ap-southeast-2a,windows,"Windows","ami-0e4952c49ba1f8ad1","CHG0088553_notinDomain_MIDSNW09WP01","N/A"
027057327921,account027057327921,i-04a83e7b81baf4778,UNIBISCOMP,running,10.47.49.120,N/A,t3a.medium,vpc-0309488c35c5a005f,subnet-03237901edd402a1e,ap-southeast-2a,windows,"Windows","ami-07d162e6bb3fec9ed","UNIBISCOMP-PC-New","N/A"
027057327921,account027057327921,i-019874722f205ef31,RPAAPAWSLP04,running,10.47.51.83,N/A,t3.medium,vpc-0309488c35c5a005f,subnet-09880790c67308028,ap-southeast-2c,linux,"Red Hat Enterprise Linux","ami-0c7151ca6820dd6a6","RPA-Linux-AMI","N/A"
